rgb,red,green,blue,name,eng_name
#FFB6C1,255,182,193,淺粉紅,LightPink
#FFC0CB,255,192,203,粉紅,Pink
#DC143C,220,20,60,猩紅 (深紅),Crimson
#FFF0F5,255,240,245,淡紫紅,LavenderBlush
#DB7093,219,112,147,弱紫羅蘭紅,PaleVioletRed
#FF69B4,255,105,180,熱情的粉紅,HotPink
#FF1493,255,20,147,深粉紅,DeepPink
#C71585,199,21,133,中紫羅蘭紅,MediumVioletRed
#DA70D6,218,112,214,蘭花紫,Orchid
#D8BFD8,216,191,216,薊,Thistle
#DDA0DD,221,160,221,李子紫,Plum
#EE82EE,238,130,238,紫羅蘭,Violet
#FF00FF,255,0,255,洋紅 (品紅 玫瑰紅),Magenta
#FF00FF,255,0,255,燈籠海棠(紫紅色),Fuchsia
#8B008B,139,0,139,深洋紅,DarkMagenta
#800080,128,0,128,紫色,Purple
#BA55D3,186,85,211,中蘭花紫,MediumOrchid
#9400D3,148,0,211,暗紫羅蘭,DarkViolet
#9932CC,153,50,204,暗蘭花紫,DarkOrchid
#4B0082,75,0,130,靛青 (紫蘭色),Indigo
#8A2BE2,138,43,226,藍紫羅蘭,BlueViolet
#9370DB,147,112,219,中紫色,MediumPurple
#7B68EE,123,104,238,中板岩藍,MediumSlateBlue
#6A5ACD,106,90,205,板岩藍,SlateBlue
#483D8B,72,61,139,暗板岩藍,DarkSlateBlue
#E6E6FA,230,230,250,熏衣草淡紫,Lavender
#F8F8FF,248,248,255,幽靈白,GhostWhite
#0000FF,0,0,255,純藍,Blue
#0000CD,0,0,205,中藍色,MediumBlue
#191970,25,25,112,午夜藍,MidnightBlue
#00008B,0,0,139,暗藍色,DarkBlue
#000080,0,0,128,海軍藍,Navy
#4169E1,65,105,225,皇家藍 (寶藍),RoyalBlue
#6495ED,100,149,237,矢車菊藍,CornflowerBlue
#B0C4DE,176,196,222,亮鋼藍,LightSteelBlue
#778899,119,136,153,亮石板灰,LightSlateGray
#708090,112,128,144,石板灰,SlateGray
#1E90FF,30,144,255,道奇藍,DodgerBlue
#F0F8FF,240,248,255,愛麗絲藍,AliceBlue
#4682B4,70,130,180,鋼藍 (鐵青),SteelBlue
#87CEFA,135,206,250,亮天藍色,LightSkyBlue
#87CEEB,135,206,235,天藍色,SkyBlue
#00BFFF,0,191,255,深天藍,DeepSkyBlue
#ADD8E6,173,216,230,亮藍,LightBlue
#B0E0E6,176,224,230,火藥青,PowderBlue
#5F9EA0,95,158,160,軍服藍,CadetBlue
#F0FFFF,240,255,255,蔚藍色,Azure
#E0FFFF,224,255,255,淡青色,LightCyan
#AFEEEE,175,238,238,弱綠寶石,PaleTurquoise
#00FFFF,0,255,255,青色,Cyan
#00FFFF,0,255,255,水色,Aqua
#00CED1,0,206,209,暗綠寶石,DarkTurquoise
#2F4F4F,47,79,79,暗石板灰,DarkSlateGray
#008B8B,0,139,139,暗青色,DarkCyan
#008080,0,128,128,水鴨色,Teal
#48D1CC,72,209,204,中綠寶石,MediumTurquoise
#20B2AA,32,178,170,淺海洋綠,LightSeaGreen
#40E0D0,64,224,208,綠寶石,Turquoise
#7FFFD4,127,255,212,寶石碧綠,Aquamarine
#66CDAA,102,205,170,中寶石碧綠,MediumAquamarine
#00FA9A,0,250,154,中春綠色,MediumSpringGreen
#F5FFFA,245,255,250,薄荷奶油,MintCream
#00FF7F,0,255,127,春綠色,SpringGreen
#3CB371,60,179,113,中海洋綠,MediumSeaGreen
#2E8B57,46,139,87,海洋綠,SeaGreen
#F0FFF0,240,255,240,蜜瓜色,Honeydew
#90EE90,144,238,144,淡綠色,LightGreen
#98FB98,152,251,152,弱綠色,PaleGreen
#8FBC8F,143,188,143,暗海洋綠,DarkSeaGreen
#32CD32,50,205,50,閃光深綠,LimeGreen
#00FF00,0,255,0,閃光綠,Lime
#228B22,34,139,34,森林綠,ForestGreen
#008000,0,128,0,純綠,Green
#006400,0,100,0,暗綠色,DarkGreen
#7FFF00,127,255,0,查特酒綠 (黃綠色),Chartreuse**
#7CFC00,124,252,0,草坪綠,LawnGreen
#ADFF2F,173,255,47,綠黃色,GreenYellow
#556B2F,85,107,47,暗橄欖綠,DarkOliveGreen
#9ACD32,154,205,50,黃綠色,YellowGreen
#6B8E23,107,142,35,橄欖褐色,OliveDrab
#F5F5DC,245,245,220,米色(灰棕色),Beige
#FAFAD2,250,250,210,亮菊黃,LightGoldenrodYellow
#FFFFF0,255,255,240,象牙,Ivory
#FFFFE0,255,255,224,淺黃色,LightYellow
#FFFF00,255,255,0,純黃,Yellow
#808000,128,128,0,橄欖,Olive
#BDB76B,189,183,107,深卡嘰布,DarkKhaki
#FFFACD,255,250,205,檸檬綢,LemonChiffon
#EEE8AA,238,232,170,灰菊黃,PaleGoldenrod
#F0E68C,240,230,140,卡嘰布,Khaki
#FFD700,255,215,0,金色,Gold
#FFF8DC,255,248,220,玉米絲色,Cornsilk
#DAA520,218,165,32,金菊黃,Goldenrod
#B8860B,184,134,11,暗金菊黃,DarkGoldenrod
#FFFAF0,255,250,240,花的白色,FloralWhite
#FDF5E6,253,245,230,舊蕾絲,OldLace
#F5DEB3,245,222,179,小麥色,Wheat
#FFE4B5,255,228,181,鹿皮靴,Moccasin
#FFA500,255,165,0,橙色,Orange
#FFEFD5,255,239,213,番木瓜,PapayaWhip
#FFEBCD,255,235,205,發白的杏仁色,BlanchedAlmond
#FFDEAD,255,222,173,土著白,NavajoWhite
#FAEBD7,250,235,215,古董白,AntiqueWhite
#D2B48C,210,180,140,茶色,Tan
#DEB887,222,184,135,硬木色,BurlyWood
#FFE4C4,255,228,196,陶坯黃,Bisque
#FF8C00,255,140,0,深橙色,DarkOrange
#FAF0E6,250,240,230,亞麻布,Linen
#CD853F,205,133,63,秘魯,Peru
#FFDAB9,255,218,185,桃肉色,PeachPuff
#F4A460,244,164,96,沙棕色,SandyBrown
#D2691E,210,105,30,巧克力,Chocolate
#8B4513,139,69,19,馬鞍棕色,SaddleBrown
#FFF5EE,255,245,238,海貝殼,Seashell
#A0522D,160,82,45,黃土赭色,Sienna
#FFA07A,255,160,122,淺鮭魚肉色,LightSalmon
#FF7F50,255,127,80,珊瑚,Coral
#FF4500,255,69,0,橙紅色,OrangeRed
#E9967A,233,150,122,深鮮肉(鮭魚)色,DarkSalmon
#FF6347,255,99,71,番茄紅,Tomato
#FFE4E1,255,228,225,薄霧玫瑰,MistyRose
#FA8072,250,128,114,鮮肉(鮭魚)色,Salmon
#FFFAFA,255,250,250,雪,Snow
#F08080,240,128,128,淡珊瑚色,LightCoral
#BC8F8F,188,143,143,玫瑰棕色,RosyBrown
#CD5C5C,205,92,92,印度紅,IndianRed
#FF0000,255,0,0,純紅,Red
#A52A2A,165,42,42,棕色,Brown
#B22222,178,34,34,耐火磚,FireBrick
#8B0000,139,0,0,深紅色,DarkRed
#800000,128,0,0,栗色,Maroon
#FFFFFF,255,255,255,純白,White
#F5F5F5,245,245,245,白煙,WhiteSmoke
#DCDCDC,220,220,220,庚斯博羅灰色,Gainsboro
#D3D3D3,211,211,211,淺灰色,LightGrey
#C0C0C0,192,192,192,銀灰色,Silver
#A9A9A9,169,169,169,深灰色,DarkGray
#808080,128,128,128,灰色,Gray
